Freq[Hz]     dBSPL  Phase[Deg]
140.500     83.258   -14.102
142.544     83.079   -15.774
144.617     82.762   -17.424
146.721     82.313   -18.776
148.855     81.743   -19.548
151.020     81.086   -19.462
153.217     80.381   -18.270
155.445     79.684   -15.747
157.706     79.097   -11.817
160.000     78.738    -6.749
162.327     78.737    -1.244
164.688     79.108     3.625
167.084     79.739     7.008
169.514     80.526     8.495
171.980     81.277     8.117
174.481     81.837     6.369
177.019     82.158     3.770
179.594     82.174     0.838
182.206     81.874    -1.798
184.856     81.352    -3.563
187.545     80.666    -3.976
190.273     79.948    -2.612
193.041     79.399     0.536
195.849     79.196     4.740
198.697     79.446     8.738
201.587     80.049    11.308
204.520     80.683    12.106
207.494     81.149    11.546
210.512     81.333    10.235
213.574     81.247     8.833
216.681     81.002     7.890
219.833     80.701     7.719
223.030     80.417     8.472
226.274     80.201    10.097
229.565     80.109    12.322
232.905     80.221    14.619
236.292     80.667    16.111
239.729     81.363    15.886
243.216     82.073    13.719
246.754     82.586     9.939
250.343     82.618     5.362
253.984     82.062     1.055
257.678     80.882    -1.815
261.426     79.070    -1.439
265.229     77.042     4.882
269.087     75.956    17.881
273.001     76.582    31.558
276.972     78.013    39.727
281.000     79.423    42.671
285.088     80.488    42.505
289.234     81.079    41.097
293.441     81.197    39.898
297.709     80.964    39.989
302.040     80.632    42.059
306.433     80.744    45.721
310.890     81.583    49.089
315.412     82.769    50.483
320.000     83.829    49.699
324.655     84.550    47.414
329.377     84.919    44.448
334.168     85.012    41.542
339.028     84.954    39.215
343.959     84.841    37.749
348.962     84.753    37.156
354.038     84.759    37.192
359.188     84.909    37.450
364.412     85.215    37.511
369.713     85.578    37.144
375.090     85.880    36.415
380.546     86.072    35.524
386.081     86.220    34.586
391.697     86.414    33.580
397.394     86.717    32.345
403.175     87.084    30.639
409.039     87.378    28.405
414.989     87.534    25.808
421.025     87.516    23.153
427.149     87.312    20.870
433.362     86.993    19.322
439.665     86.660    18.597
446.060     86.467    18.479
452.548     86.534    18.422
459.131     86.747    17.921
465.809     86.900    16.922
472.584     86.887    15.651
479.458     86.681    14.484
486.432     86.396    13.805
493.507     86.209    13.629
500.686     86.184    13.600
507.968     86.302    13.303
515.357     86.431    12.529
522.853     86.399    11.526
530.458     86.186    10.687
538.174     85.874    10.243
546.002     85.596    10.276
553.943     85.489    10.613
562.001     85.501    10.904
