Freq[Hz]     dBSPL  Phase[Deg]
144.617     82.608     5.228
146.721     82.979     7.227
148.855     83.376     8.318
151.020     83.754     8.559
153.217     84.108     8.065
155.445     84.414     6.952
157.706     84.600     5.439
160.000     84.620     3.833
162.327     84.465     2.465
164.688     84.169     1.690
167.084     83.842     1.756
169.514     83.600     2.626
171.980     83.547     3.912
174.481     83.717     4.963
177.019     84.060     5.171
179.594     84.457     4.186
182.206     84.764     2.007
184.856     84.886    -1.090
187.545     84.743    -4.680
190.273     84.227    -8.061
193.041     83.278   -10.270
195.849     81.915   -10.169
198.697     80.259    -6.037
201.587     78.886     3.486
204.520     78.809    16.099
207.494     79.936    25.980
210.512     81.285    30.974
213.574     82.419    32.425
216.681     83.190    31.895
219.833     83.607    30.602
223.030     83.768    29.489
226.274     83.782    29.096
229.565     83.775    29.634
232.905     83.928    30.823
236.292     84.355    31.935
239.729     85.002    32.232
243.216     85.702    31.339
246.754     86.234    29.397
250.343     86.520    26.861
253.984     86.556    24.199
257.678     86.398    21.843
261.426     86.121    20.195
265.229     85.793    19.496
269.087     85.465    19.829
273.001     85.205    21.081
276.972     85.112    22.953
281.000     85.237    24.966
285.088     85.508    26.704
289.234     85.825    28.002
293.441     86.140    28.873
297.709     86.467    29.383
302.040     86.844    29.537
306.433     87.287    29.232
310.890     87.759    28.330
315.412     88.212    26.768
320.000     88.617    24.554
324.655     88.927    21.802
329.377     89.099    18.737
334.168     89.108    15.640
339.028     88.920    12.838
343.959     88.561    10.701
348.962     88.126     9.467
354.038     87.752     9.109
359.188     87.537     9.371
364.412     87.498     9.836
369.713     87.533    10.167
375.090     87.543    10.299
380.546     87.520    10.349
386.081     87.497    10.426
391.697     87.522    10.508
397.394     87.628    10.423
403.175     87.811     9.939
409.039     87.991     8.970
414.989     88.081     7.653
421.025     88.031     6.235
427.149     87.830     5.014
433.362     87.546     4.267
439.665     87.283     4.082
446.060     87.113     4.296
452.548     87.048     4.630
459.131     87.036     4.881
465.809     86.990     5.068
472.584     86.855     5.407
479.458     86.684     6.073
486.432     86.573     7.058
493.507     86.615     8.144
500.686     86.805     8.973
507.968     87.035     9.317
515.357     87.205     9.220
522.853     87.284     8.889
530.458     87.322     8.480
538.174     87.389     7.972
546.002     87.516     7.234
553.943     87.657     6.171
562.001     87.703     4.864
570.175     87.580     3.578
578.469     87.289     2.655
586.883     86.909     2.402
595.419     86.579     2.918
604.080     86.375     4.044
612.866     86.290     5.515
621.780     86.267     7.103
630.824     86.309     8.645
640.000     86.462     9.921
649.309     86.725    10.715
658.753     87.052    10.880
668.335     87.328    10.417
678.056     87.483     9.519
687.919     87.521     8.435
697.925     87.480     7.383
708.077     87.392     6.549
718.376     87.244     6.106
728.825     87.037     6.209
739.426     86.833     6.877
